ID,FullName,Height,Nationality,Overall,Potential,BestPosition,Club,ValueEUR,ContractUntil,IntReputation,PreferredFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Born,MP,Starts,Min,90s,Goals,Assists,PasTotCmp%,Int,Clr,AerWon,Touches,PasLonCmp,Fls,Fld,SoT
164859,Theo Walcott,176,England,72,72,RM,Southampton,1500000,2023.0,3,Right,3,Medium,Medium,74,68,70,74,39,52,11,8,9,9,8,1989,4,1,139,1.5,0,0.0,71.0,0.67,0.0,0.67,33.3,0.0,1.33,0.0,0.67
165153,Karim Benzema,185,France,91,91,CF,Real Madrid CF,64000000,2023.0,4,Right,4,Medium,Medium,80,88,83,87,39,78,13,11,5,5,7,1987,12,12,1046,11.6,9,0.26,85.4,0.09,0.17,0.43,57.3,1.29,0.6,0.34,1.38
167495,Manuel Neuer,193,Germany,90,90,GK,FC Bayern München,13500000,2024.0,5,Right,1,Medium,Medium,87,88,91,88,56,91,87,88,91,91,88,1986,12,12,1080,12.0,0,0.0,89.1,0.0,0.33,0.25,44.0,9.83,0.0,0.08,0.08
167948,Hugo Lloris,188,France,87,87,GK,Tottenham Hotspur,9000000,2024.0,4,Left,1,Medium,Medium,88,83,74,88,61,84,88,83,74,84,88,1986,21,21,1890,21.0,0,0.0,78.9,0.05,0.52,0.29,32.5,6.24,0.0,0.1,0.0
169588,Jonny Evans,188,Northern Ireland,79,79,CB,Leicester City,5500000,2023.0,2,Right,2,Medium,High,50,32,60,58,82,76,12,16,16,15,8,1988,9,9,810,9.0,0,0.0,89.3,1.78,3.56,2.22,83.7,7.11,0.78,0.44,0.11
170084,Wayne Hennessey,198,Wales,74,74,GK,Nottingham Forest,475000,2024.0,2,Right,1,Medium,Medium,76,74,77,71,40,74,76,74,77,74,71,1987,2,2,180,2.0,0,0.0,80.4,0.0,0.5,0.0,32.0,10.0,0.0,0.5,0.0
170320,Lorenzo De Silvestri,186,Italy,76,76,RWB,Bologna,2800000,2023.0,2,Right,3,Medium,Medium,72,67,71,73,73,75,15,11,10,14,14,1988,9,5,518,5.8,0,0.0,70.8,0.34,2.76,1.55,52.4,1.21,0.69,0.86,0.34
171897,Andrés Guardado,169,Mexico,77,77,CM,Real Betis Balompié,3000000,2023.0,3,Left,3,Medium,Medium,61,68,79,79,71,68,7,10,10,11,10,1986,14,8,691,7.7,1,0.0,82.0,1.3,1.69,0.91,61.2,6.1,1.3,0.65,0.26
172203,Fraser Forster,201,England,76,76,GK,Tottenham Hotspur,1300000,2024.0,2,Right,1,Medium,Medium,76,72,67,81,30,75,76,72,67,75,81,1988,2,2,180,2.0,0,0.0,81.4,0.0,0.5,0.0,24.0,5.0,0.0,0.5,0.0
173030,Óscar Trejo,180,Argentina,79,79,CAM,Rayo Vallecano,8000000,2023.0,1,Right,3,High,Medium,68,76,78,82,71,77,14,14,7,16,11,1988,18,16,1208,13.4,2,0.22,80.9,0.45,0.37,0.45,55.7,1.72,3.21,3.13,0.22
173221,Antonio Candreva,180,Italy,80,80,RM,US Salernitana 1919,8500000,2023.0,3,Right,4,Medium,Medium,70,79,80,81,61,62,10,4,14,4,14,1987,20,18,1613,17.9,2,0.06,72.1,0.89,1.4,0.0,62.8,4.36,0.17,0.73,0.5
173546,James Tomkins,192,England,72,72,CB,Crystal Palace,1100000,2023.0,2,Right,2,Low,Medium,33,32,56,49,74,67,11,8,6,9,14,1989,4,2,247,2.7,1,0.0,81.6,1.11,4.07,1.48,59.3,3.33,0.74,0.37,0.37
173909,Kevin-Prince Boateng,186,Ghana,74,74,CAM,Hertha BSC,1700000,2023.0,3,Right,4,Medium,Medium,48,74,74,77,65,69,6,11,15,16,6,1987,9,1,133,1.5,0,0.0,75.0,0.0,1.33,2.67,71.3,4.0,7.33,1.33,0.0
174543,Claudio Bravo,184,Chile,78,78,GK,Real Betis Balompié,1600000,2023.0,3,Right,1,Medium,Medium,77,78,84,78,56,78,77,78,84,78,78,1983,3,3,270,3.0,0,0.0,55.6,0.33,0.0,0.0,34.7,7.67,0.0,0.0,0.0
176600,Kévin Gameiro,172,France,77,77,ST,RC Strasbourg Alsace,4500000,2023.0,3,Right,3,Medium,Medium,78,77,73,75,41,66,6,10,8,8,6,1987,20,16,1394,15.5,7,0.0,78.7,0.45,0.0,0.58,43.6,0.84,0.45,0.71,1.16
177388,Dimitri Payet,175,France,82,82,CAM,Olympique de Marseille,12500000,2024.0,3,Right,4,High,Medium,70,78,84,83,40,65,11,15,9,14,12,1987,18,8,700,7.8,2,0.38,71.1,0.0,0.26,0.13,58.8,4.74,0.64,1.79,0.51
177413,Axel Witsel,186,Belgium,79,79,CDM,Atlético de Madrid,8500000,2023.0,3,Right,3,Low,Medium,34,63,79,75,78,74,5,7,7,10,7,1989,17,14,1251,13.9,0,0.0,93.0,0.86,3.31,1.58,62.9,2.23,0.72,0.65,0.0
177475,Tobias Sippel,183,Germany,73,73,GK,Borussia Mönchengladbach,525000,2023.0,1,Right,1,Medium,Medium,74,69,76,77,47,69,74,69,76,69,77,1988,3,3,270,3.0,0,0.0,65.5,0.0,0.33,0.67,47.7,5.67,0.0,0.0,0.0
177683,Yann Sommer,183,Switzerland,85,85,GK,Borussia Mönchengladbach,17500000,2023.0,3,Right,1,Medium,Medium,78,81,82,90,50,86,78,81,82,86,90,1988,5,5,450,5.0,0,0.0,87.8,0.2,0.2,0.4,43.8,8.8,0.2,0.0,0.0
178160,Thomas Mangani,183,France,73,73,CDM,AC Ajaccio,850000,2024.0,2,Left,3,Medium,Medium,40,69,76,69,68,73,13,12,9,13,15,1987,18,9,895,9.9,1,0.1,67.8,2.12,1.41,2.02,76.4,8.28,2.02,0.71,0.0
178509,Olivier Giroud,192,France,82,82,ST,AC Milan,13000000,2023.0,3,Left,3,Medium,Medium,42,83,72,73,42,78,12,15,11,6,5,1986,20,16,1352,15.0,7,0.27,62.8,0.13,0.73,4.6,33.7,0.4,1.47,1.07,1.2
178603,Mats Hummels,191,Germany,84,84,CB,Borussia Dortmund,20000000,2023.0,4,Right,3,Medium,Medium,53,59,76,72,87,78,15,6,10,5,6,1988,16,14,1155,12.8,0,0.0,87.8,1.64,3.75,2.89,82.9,11.1,0.94,0.63,0.08
179645,Simon Kjær,190,Denmark,82,82,CB,AC Milan,14500000,2024.0,3,Right,2,Low,High,62,54,64,60,84,78,6,10,13,10,15,1989,11,8,668,7.4,0,0.0,86.5,0.95,2.57,1.76,64.5,9.32,0.95,0.14,0.0
179789,Damien Da Silva,184,France,74,74,CB,Olympique Lyonnais,1400000,2023.0,2,Right,2,Medium,Medium,36,37,57,52,75,73,6,8,12,16,11,1988,7,3,338,3.8,0,0.0,85.4,1.32,3.16,3.16,77.6,6.58,2.11,0.53,0.0
179813,Edinson Cavani,185,Uruguay,81,81,ST,Valencia CF,11000000,2024.0,4,Right,3,High,High,61,83,68,72,51,73,12,5,13,13,10,1987,14,14,945,10.5,5,0.1,73.7,0.1,0.48,0.86,32.2,1.9,1.24,0.57,0.67
179847,Federico Fazio,195,Argentina,74,74,CB,US Salernitana 1919,1100000,2024.0,3,Right,2,Low,Medium,34,40,54,54,75,72,8,9,12,11,14,1987,12,12,1059,11.8,1,0.0,77.3,2.37,5.17,3.05,56.7,3.98,0.93,0.51,0.17
180216,Séamus Coleman,177,Republic of Ireland,76,76,RB,Everton,3900000,2023.0,2,Right,3,High,High,65,65,72,76,77,70,5,15,10,13,7,1988,13,10,857,9.5,0,0.0,81.2,1.26,3.47,0.74,54.0,2.63,0.42,0.95,0.0
181098,Makoto Hasebe,180,Japan,74,74,CB,Eintracht Frankfurt,750000,2023.0,2,Right,3,Medium,Medium,52,51,72,70,76,60,10,12,10,15,9,1984,6,4,387,4.3,0,0.0,88.4,0.93,4.65,1.86,66.5,4.88,0.23,0.7,0.0
181291,Georginio Wijnaldum,175,Netherlands,80,80,CM,Roma,17500000,2023.0,3,Right,3,High,High,69,71,77,80,77,78,16,6,14,12,6,1990,2,0,21,0.2,0,0.0,93.3,0.0,0.0,0.0,85.0,10.0,5.0,0.0,0.0
182212,Anthony Modeste,187,France,79,79,ST,Borussia Dortmund,8500000,2023.0,2,Right,3,Medium,Low,69,78,63,70,35,79,10,11,11,6,8,1988,14,7,750,8.3,2,0.12,57.7,0.24,2.17,3.25,22.8,0.12,1.45,0.72,1.08
182521,Toni Kroos,183,Germany,88,88,CM,Real Madrid CF,72000000,2023.0,4,Right,3,Medium,Medium,53,81,90,81,71,68,10,11,13,7,10,1990,17,14,1219,13.5,2,0.15,90.9,1.04,0.37,0.37,108.3,12.5,1.11,1.48,0.44
183277,Eden Hazard,175,Belgium,84,84,LW,Real Madrid CF,35000000,2024.0,4,Right,4,Medium,Medium,83,80,82,87,35,63,11,12,6,8,8,1991,3,1,99,1.1,0,0.0,89.9,0.0,0.0,0.0,70.9,2.73,0.0,2.73,0.0
183280,Adil Rami,190,France,71,71,CB,ESTAC Troyes,325000,2023.0,3,Right,2,Medium,Medium,37,48,53,56,71,75,5,3,5,5,3,1985,7,5,539,6.0,0,0.0,84.8,1.5,3.33,1.67,45.7,5.17,0.83,0.67,0.33
183285,Mamadou Sakho,187,France,76,76,CB,Montpellier Hérault SC,4900000,2024.0,3,Left,2,Medium,High,40,35,64,55,75,81,14,12,9,7,8,1990,10,5,516,5.7,1,0.0,84.5,0.88,4.39,2.98,67.5,2.81,0.35,0.7,0.35
183394,Moussa Sissoko,187,France,77,77,CDM,FC Nantes,7000000,2024.0,2,Right,3,Medium,High,70,61,72,75,74,86,14,8,11,10,8,1989,15,13,1147,12.7,1,0.0,77.9,0.87,0.87,1.65,42.9,1.97,1.81,0.47,0.24
183491,Mathias Jørgensen,191,Denmark,72,72,CB,Brentford,1500000,2023.0,1,Right,2,Medium,Medium,51,39,57,54,72,77,16,9,9,14,13,1990,13,8,745,8.3,0,0.0,80.2,1.69,3.25,1.2,50.8,1.45,0.72,0.36,0.12
183574,Max Kruse,180,Germany,80,80,CAM,VfL Wolfsburg,10500000,2023.0,2,Left,4,High,Low,51,81,81,82,40,64,12,7,5,13,9,1988,5,2,272,3.0,0,0.0,74.4,0.0,0.33,2.0,48.0,3.0,1.0,1.0,0.67
183711,Jordan Henderson,182,England,83,83,CM,Liverpool,28500000,2025.0,3,Right,3,High,High,66,74,83,78,78,81,7,13,7,9,13,1990,17,10,919,10.2,0,0.0,81.6,0.98,0.59,0.49,80.9,5.98,0.49,0.29,0.29
183855,Angelo Ogbonna,191,Italy,79,79,CB,West Ham United,5500000,2023.0,2,Left,2,Medium,Medium,49,40,60,62,82,68,5,3,5,4,4,1988,7,5,477,5.3,0,0.0,84.4,1.32,5.28,2.08,40.0,3.02,0.0,0.38,0.0
183898,Ángel Di María,180,Argentina,84,84,RW,Juventus,20000000,2023.0,4,Left,5,High,Medium,79,79,84,87,48,67,10,7,11,12,11,1988,12,8,608,6.8,3,0.29,75.0,0.29,0.0,0.15,54.0,5.29,0.59,1.03,0.88
183907,Jérôme Boateng,190,Germany,79,79,CB,Olympique Lyonnais,8500000,2023.0,4,Right,2,Medium,Medium,47,49,73,66,80,74,7,12,15,6,5,1988,6,4,315,3.5,0,0.0,79.0,1.43,4.29,2.0,55.1,4.86,0.29,0.0,0.0
184344,Leonardo Bonucci,190,Italy,84,84,CB,Juventus,11000000,2024.0,3,Right,2,Medium,High,54,59,69,71,85,78,2,2,3,2,4,1987,9,6,600,6.7,1,0.0,85.2,1.19,3.28,1.64,60.1,7.31,1.19,0.6,0.15
184392,Matteo Darmian,182,Italy,80,80,RWB,Inter,14500000,2024.0,2,Right,3,Medium,High,71,59,70,76,81,69,6,7,7,12,7,1989,16,12,993,11.0,1,0.18,82.9,0.82,1.55,0.45,58.7,3.0,1.09,1.09,0.09
184941,Alexis Sánchez,168,Chile,79,79,CAM,Olympique de Marseille,11000000,2023.0,4,Right,4,Medium,Medium,72,77,78,83,43,67,10,10,15,12,13,1988,20,17,1468,16.3,9,0.06,75.9,0.12,0.18,1.53,45.1,2.7,1.53,1.47,1.1
185122,Péter Gulácsi,191,Hungary,85,85,GK,RB Leipzig,26500000,2025.0,3,Right,1,Medium,Medium,85,84,76,85,43,83,85,84,76,83,85,1990,6,6,540,6.0,0,0.0,87.9,0.0,0.33,0.0,37.5,5.5,0.0,0.0,0.0
186197,Gaël Kakuta,173,Congo DR,76,76,CAM,Racing Club de Lens,6000000,2023.0,2,Left,4,High,Medium,70,73,76,80,40,59,7,12,7,14,13,1991,2,0,22,0.2,0,0.0,75.0,0.0,5.0,5.0,90.0,5.0,0.0,5.0,0.0
186345,Kieran Trippier,173,England,84,84,RB,Newcastle United,30500000,2024.0,2,Right,3,Medium,Medium,70,64,82,77,80,72,11,14,8,11,10,1990,22,22,1954,21.7,1,0.18,71.4,1.2,1.98,1.38,81.6,8.8,1.15,0.83,0.09
186392,Joel Ward,188,England,74,74,RB,Crystal Palace,2900000,2023.0,1,Right,3,Medium,High,54,52,68,66,77,70,8,7,7,10,11,1989,16,14,1295,14.4,0,0.0,74.8,1.04,3.19,1.94,56.3,2.36,1.25,0.49,0.0
186395,Matt Ritchie,172,Scotland,73,73,RM,Newcastle United,2400000,2023.0,1,Left,4,High,High,60,72,75,75,66,65,15,8,11,14,13,1989,2,0,4,0.0,0,0.0,66.7,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
186561,Aaron Ramsey,183,Wales,76,76,CM,OGC Nice,6000000,2023.0,3,Right,3,Medium,Medium,51,71,78,79,65,62,6,11,5,10,8,1990,18,11,1017,11.3,1,0.09,84.7,1.06,1.15,0.35,67.8,4.78,1.15,1.33,0.53
186569,Sven Ulreich,192,Germany,75,75,GK,FC Bayern München,1800000,2023.0,2,Right,1,Medium,Medium,75,69,62,79,41,73,75,69,62,73,79,1988,3,3,270,3.0,0,0.0,84.0,0.0,0.0,0.0,46.3,5.33,0.33,0.33,0.0
186801,Cheikhou Kouyaté,189,Senegal,77,77,CDM,Nottingham Forest,7000000,2024.0,2,Right,3,High,High,60,64,63,69,77,84,15,8,9,12,9,1989,12,9,704,7.8,1,0.0,77.2,0.64,2.56,1.79,37.4,2.18,1.92,0.9,0.64
187072,Lars Stindl,181,Germany,79,79,CAM,Borussia Mönchengladbach,11000000,2023.0,3,Right,4,Medium,Medium,55,79,79,79,60,74,7,10,13,11,12,1988,14,10,890,9.9,4,0.61,78.7,0.51,1.31,0.51,48.5,1.82,1.41,1.41,1.01
187598,Rafael Tolói,185,Italy,81,81,CB,Atalanta,17500000,2024.0,2,Right,2,Medium,High,67,52,59,65,82,82,11,12,16,16,8,1990,17,17,1448,16.1,1,0.06,77.7,2.36,2.86,1.24,61.7,4.66,0.68,0.62,0.25
188335,Ante Budimir,190,Croatia,76,76,ST,CA Osasuna,7500000,2025.0,2,Left,3,Medium,High,62,76,49,72,35,76,11,14,8,16,15,1991,16,11,867,9.6,2,0.0,55.6,0.21,1.15,5.52,28.8,0.0,2.4,1.46,0.73
188350,Marco Reus,180,Germany,85,85,CAM,Borussia Dortmund,33500000,2023.0,4,Right,4,High,Medium,70,84,84,85,53,65,12,12,13,13,11,1989,12,9,779,8.7,2,0.23,76.3,0.23,0.46,0.46,41.6,0.46,1.49,1.26,0.46
188377,Kyle Walker,183,England,85,85,RB,Manchester City,37500000,2024.0,3,Right,3,High,High,91,63,77,78,80,82,12,6,16,15,8,1990,11,10,793,8.8,0,0.0,87.6,0.57,0.57,1.36,100.3,7.5,0.45,0.45,0.11
188545,Robert Lewandowski,185,Poland,91,91,ST,FC Barcelona,84000000,2025.0,5,Right,4,High,Medium,75,91,79,86,44,83,15,6,12,8,10,1988,17,16,1334,14.8,14,0.27,76.5,0.07,0.27,1.49,37.2,0.88,1.55,1.42,2.23
188567,Pierre-Emerick Aubameyang,187,Gabon,85,85,ST,Chelsea,34500000,2024.0,3,Right,4,High,Low,87,84,74,79,36,68,6,9,15,9,9,1989,11,4,433,4.8,1,0.0,70.9,0.42,0.83,0.21,25.8,0.42,0.83,0.21,1.04
188943,Kevin Trapp,189,Germany,86,86,GK,Eintracht Frankfurt,36000000,2024.0,3,Right,1,Medium,Medium,84,82,79,87,46,85,84,82,79,85,87,1990,18,18,1620,18.0,0,0.0,66.3,0.0,0.28,0.06,28.4,4.94,0.0,0.11,0.0
188988,Manuel Lanzini,167,Argentina,79,79,CAM,West Ham United,17000000,2023.0,2,Right,4,Medium,Medium,69,73,79,82,41,55,14,9,6,7,15,1993,5,1,126,1.4,0,0.0,81.9,0.0,0.0,0.0,63.6,3.57,0.71,0.0,0.0
189053,Francesco Caputo,181,Italy,78,78,ST,U.C. Sampdoria,7000000,2024.0,1,Right,3,High,Low,79,79,62,78,30,67,14,7,10,11,11,1987,15,13,1094,12.2,1,0.0,70.9,0.08,0.25,0.49,25.3,0.66,0.41,1.97,0.41
189125,Giacomo Bonaventura,181,Italy,78,78,CM,Fiorentina,11000000,2023.0,2,Right,4,High,Medium,69,75,80,80,70,65,10,14,7,15,14,1989,18,16,1335,14.8,3,0.0,83.0,0.95,0.27,0.61,54.5,2.64,0.95,2.16,0.61
189165,Jonjo Shelvey,184,England,77,77,CM,Newcastle United,10000000,2023.0,2,Right,3,Medium,Medium,40,71,80,72,62,74,14,11,15,8,16,1992,3,0,37,0.4,0,0.0,73.1,0.0,0.0,0.0,70.0,10.0,2.5,0.0,0.0
189250,Salomón Rondón,186,Venezuela,74,74,ST,Everton,3400000,2023.0,2,Right,3,Medium,Low,54,73,65,69,32,74,13,13,7,5,14,1989,7,1,109,1.2,0,0.0,75.9,0.0,0.0,5.83,30.0,0.0,3.33,0.0,0.83
189271,Francis Coquelin,176,France,80,80,CM,Villarreal CF,17500000,2024.0,2,Right,3,Medium,High,68,68,78,79,78,80,9,9,8,10,15,1991,15,8,713,7.9,1,0.0,85.5,1.01,0.89,0.76,47.0,1.77,1.27,0.76,0.13
189596,Thomas Müller,185,Germany,87,87,CAM,FC Bayern München,63000000,2024.0,4,Right,3,High,High,69,84,83,80,56,71,6,7,11,14,14,1989,13,10,812,9.0,4,0.44,77.5,0.33,0.67,2.67,55.2,1.22,0.22,0.44,1.44
189606,Julian Baumgartlinger,181,Austria,76,76,CDM,FC Augsburg,2600000,2023.0,2,Right,2,Medium,High,54,49,69,68,76,76,9,13,10,9,14,1988,7,2,278,3.1,0,0.0,80.8,0.65,3.55,1.61,53.2,3.23,0.65,1.29,0.0
189615,Aaron Cresswell,175,England,78,78,LB,West Ham United,9500000,2023.0,2,Left,3,High,Medium,64,60,75,75,77,68,14,7,9,9,12,1989,18,17,1533,17.0,0,0.0,79.6,1.18,2.35,1.41,70.8,4.24,0.47,0.29,0.06
189682,Ben Mee,180,England,78,78,CB,Brentford,9000000,2024.0,1,Left,2,Low,High,61,42,58,62,80,77,15,7,12,10,14,1989,21,21,1838,20.4,3,0.0,74.9,1.37,3.48,3.82,59.7,4.56,0.49,0.49,0.2
189881,Chris Smalling,194,England,81,81,CB,Roma,16500000,2023.0,3,Right,2,Medium,High,62,47,58,60,83,80,10,15,16,15,15,1989,22,21,1953,21.7,3,0.0,86.6,1.52,4.38,1.66,50.6,2.95,0.6,0.55,0.14
190456,Nathaniel Clyne,175,England,74,74,RB,Crystal Palace,3100000,2023.0,2,Right,3,Medium,High,69,60,70,72,73,64,10,11,13,15,7,1991,16,14,1206,13.4,0,0.0,77.9,1.12,2.31,0.45,57.1,1.49,0.45,0.45,0.0
190460,Christian Eriksen,181,Denmark,82,82,CM,Manchester United,29000000,2025.0,3,Right,4,Medium,Low,61,78,88,80,53,52,9,14,7,7,6,1992,19,18,1489,16.5,1,0.42,78.9,0.48,1.09,0.42,69.7,4.48,0.61,0.36,0.48
190520,Tony Jantschke,177,Germany,72,72,CB,Borussia Mönchengladbach,1500000,2023.0,2,Right,2,Low,Medium,64,41,62,66,73,70,11,6,7,6,13,1990,5,1,88,1.0,0,0.0,89.1,0.0,5.0,4.0,76.0,5.0,2.0,0.0,0.0
190584,Asier Illarramendi,179,Spain,77,77,CM,Real Sociedad,8500000,2023.0,2,Right,3,Medium,High,42,69,76,76,75,67,15,7,11,14,12,1990,12,6,503,5.6,1,0.0,85.3,1.79,2.14,0.71,67.0,2.5,2.14,1.61,0.54
190666,Manuel Gulde,184,Germany,74,74,CB,Sport-Club Freiburg,2900000,2025.0,1,Right,2,Medium,Medium,69,40,51,57,76,72,10,10,6,16,15,1991,7,2,141,1.6,0,0.0,84.1,1.88,3.75,1.88,61.3,5.0,2.5,0.63,0.0
190674,Benjamin André,180,France,79,79,CDM,LOSC Lille,12500000,2023.0,2,Right,3,High,High,65,64,73,75,78,84,8,14,15,7,10,1990,20,20,1756,19.5,1,0.05,84.3,1.44,2.0,3.33,81.9,6.82,1.74,1.38,0.1
190717,Michail Antonio,178,Jamaica,79,79,ST,West Ham United,14000000,2024.0,2,Right,4,High,Medium,82,75,73,77,55,83,12,13,8,14,10,1990,21,11,1051,11.7,2,0.17,52.2,0.26,0.34,2.05,29.0,0.51,1.45,1.97,0.68
190745,Marco Silvestri,191,Italy,79,79,GK,Udinese Calcio,9500000,2024.0,1,Right,1,Medium,Medium,81,77,60,83,59,80,81,77,60,80,83,1991,21,21,1890,21.0,0,0.0,76.9,0.05,0.24,0.14,31.6,6.71,0.0,0.1,0.0
190765,Pascal Groß,181,Germany,77,77,CM,Brighton & Hove Albion,8500000,2024.0,2,Right,4,Medium,Medium,50,74,81,75,58,72,8,15,15,16,11,1991,21,21,1821,20.2,6,0.15,76.7,0.5,0.45,0.15,68.9,3.61,0.84,0.5,0.5
190813,Stephan El Shaarawy,178,Italy,77,77,LW,Roma,10500000,2023.0,3,Right,4,Medium,Medium,86,74,74,78,46,61,5,3,5,5,3,1992,16,5,709,7.9,3,0.0,80.5,1.39,0.89,0.76,69.1,2.91,1.39,0.76,1.14
190854,Peter Pekarík,177,Slovakia,73,73,RB,Hertha BSC,925000,2023.0,2,Right,2,Medium,Medium,66,40,63,73,71,65,12,12,15,9,10,1986,3,1,88,1.0,0,0.0,73.7,1.0,3.0,2.0,51.0,1.0,0.0,0.0,0.0
191053,Tomás Rincón,177,Venezuela,72,72,CDM,U.C. Sampdoria,1100000,2023.0,2,Right,3,Medium,High,60,59,70,71,72,75,12,12,11,8,12,1988,18,16,1324,14.7,0,0.14,80.9,1.29,0.48,1.16,52.1,3.33,1.84,1.02,0.2
191180,Javier Pastore,187,Argentina,76,76,CAM,Elche CF,4700000,2023.0,3,Right,4,High,Low,60,73,78,76,52,48,14,9,6,10,12,1989,1,0,5,0.1,0,0.0,75.0,0.0,0.0,0.0,100.0,10.0,10.0,0.0,0.0
191210,Sébastien Corchia,175,France,72,72,RB,FC Nantes,1700000,2023.0,2,Right,3,Medium,Medium,68,62,71,70,71,59,6,8,7,10,15,1990,18,3,525,5.8,0,0.17,66.2,1.03,2.76,1.21,56.7,2.24,1.72,2.41,0.17
191648,Maya Yoshida,189,Japan,73,73,CB,FC Schalke 04,1500000,2023.0,1,Right,2,Medium,High,52,41,51,63,74,70,12,16,8,6,13,1988,20,20,1788,19.9,0,0.0,77.5,1.91,4.82,2.71,60.9,5.48,0.6,0.65,0.0
192119,Thibaut Courtois,199,Belgium,90,91,GK,Real Madrid CF,90000000,2026.0,4,Left,1,Medium,Medium,84,89,75,90,46,89,84,89,75,89,90,1992,15,15,1350,15.0,0,0.0,83.6,0.0,0.2,0.2,37.3,6.07,0.0,0.13,0.0
192123,Chris Wood,191,New Zealand,76,76,ST,Newcastle United,7500000,2024.0,1,Right,2,High,Medium,59,77,60,70,40,80,14,16,16,7,16,1991,18,4,446,5.0,2,0.0,62.3,0.2,1.4,4.6,29.8,0.8,0.8,0.8,0.6
192387,Ciro Immobile,185,Italy,86,86,ST,Lazio,55000000,2025.0,4,Right,3,High,Medium,85,87,68,80,39,75,6,8,15,12,6,1990,17,15,1187,13.2,7,0.23,71.6,0.08,0.68,0.68,36.3,0.76,0.98,0.98,1.21
192448,Marc-André ter Stegen,187,Germany,88,89,GK,FC Barcelona,68500000,2025.0,4,Right,1,Medium,Medium,86,85,87,90,47,85,86,85,87,85,90,1992,20,20,1800,20.0,0,0.0,84.8,0.05,0.2,0.2,39.1,8.9,0.0,0.0,0.0
192505,Romelu Lukaku,191,Belgium,86,86,ST,Inter,68000000,2023.0,4,Left,3,Medium,Low,80,85,75,77,38,82,8,15,14,7,10,1993,9,4,395,4.4,1,0.23,62.4,0.0,0.45,2.73,28.0,0.23,0.91,0.23,0.91
