ID,FullName,Height,Nationality,Overall,Potential,BestPosition,Club,ValueEUR,ContractUntil,PreferredFoot,IntReputation,PreferredFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Born,MP,Starts,Min,90s,Goals,Assists,PasTotCmp%,PasProg,GCA,SCA,Tkl+Int,CarProg,Clr,TouDefPen,AerWon%,TouDef3rd,PasLonCmp%,Err,Recov
212622,Joshua Kimmich,177,Germany,89,90,CDM,FC Bayern München,105500000,2025.0,Right,4,Right,3,High,Medium,68,72,87,84,83,79,8,15,7,15,15,1995,19,18,1599,17.8,3,0.22,84.3,10.5,0.67,5.0,3.99,1.29,1.29,3.2,36.7,19.2,61.8,0.0,9.1
215914,N'Golo Kanté,168,France,89,89,CDM,Chelsea,72000000,2023.0,Right,4,Right,2,Medium,High,72,66,74,81,87,82,15,12,10,7,10,1991,2,2,174,1.9,0,0.0,82.9,4.74,0.53,3.68,4.21,3.68,0.0,0.53,0.0,7.89,42.9,0.0,8.95
239085,Erling Haaland,195,Norway,88,94,ST,Manchester City,148000000,2027.0,Left,4,Left,3,High,Medium,89,91,65,80,49,87,7,14,13,11,7,2000,20,19,1636,18.2,25,0.16,73.7,1.87,0.38,2.03,0.22,1.04,0.55,0.6,52.1,1.43,83.3,0.0,1.1
230621,Gianluigi Donnarumma,196,Italy,88,92,GK,Paris Saint-Germain,103500000,2026.0,Right,3,Right,1,Medium,Medium,90,83,79,89,52,85,90,83,79,85,89,1999,23,23,2070,23.0,0,0.0,87.1,0.0,0.0,0.04,0.0,0.0,0.3,24.6,83.3,27.4,52.1,0.04,1.48
193041,Keylor Navas,185,Costa Rica,88,88,GK,Paris Saint-Germain,10000000,2024.0,Right,3,Right,1,Medium,Medium,89,84,75,89,54,87,89,84,75,87,89,1986,2,2,180,2.0,0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.5,37.5,0.0,42.0,36.5,0.0,0.5
192448,Marc-André ter Stegen,187,Germany,88,89,GK,FC Barcelona,68500000,2025.0,Right,4,Right,1,Medium,Medium,86,85,87,90,47,85,86,85,87,85,90,1992,20,20,1800,20.0,0,0.0,84.8,0.05,0.05,0.2,0.05,0.0,0.2,29.1,100.0,38.6,62.7,0.1,1.8
182521,Toni Kroos,183,Germany,88,88,CM,Real Madrid CF,72000000,2023.0,Right,4,Right,3,Medium,Medium,53,81,90,81,71,68,10,11,13,7,10,1990,17,14,1219,13.5,2,0.15,90.9,12.7,0.22,4.67,3.11,2.07,0.37,2.22,55.6,20.7,72.5,0.0,6.67
205452,Antonio Rüdiger,190,Germany,87,88,CB,Real Madrid CF,73500000,2026.0,Right,2,Right,2,High,High,82,53,71,67,86,85,14,15,10,12,8,1993,18,13,1226,13.6,1,0.0,91.9,2.35,0.07,0.81,1.18,0.44,2.87,7.43,73.3,32.1,74.1,0.0,5.51
167948,Hugo Lloris,188,France,87,87,GK,Tottenham Hotspur,9000000,2024.0,Left,4,Left,1,Medium,Medium,88,83,74,88,61,84,88,83,74,84,88,1986,21,21,1890,21.0,0,0.0,78.9,0.0,0.0,0.24,0.1,0.0,0.52,29.7,66.7,32.4,51.2,0.19,1.29
189596,Thomas Müller,185,Germany,87,87,CAM,FC Bayern München,63000000,2024.0,Right,4,Right,3,High,High,69,84,83,80,56,71,6,7,11,14,14,1989,13,10,812,9.0,4,0.44,77.5,5.44,0.78,5.0,1.11,2.11,0.67,1.0,75.0,5.56,44.0,0.0,3.89
199556,Marco Verratti,165,Italy,87,87,CM,Paris Saint-Germain,77500000,2024.0,Right,3,Right,4,Medium,High,60,61,87,91,79,66,12,12,15,15,10,1992,17,16,1244,13.8,0,0.0,93.3,10.9,0.36,2.39,5.07,1.88,0.29,3.26,33.3,21.7,85.0,0.14,7.61
215698,Mike Maignan,191,France,87,90,GK,AC Milan,80000000,2026.0,Right,2,Right,1,Medium,Medium,85,82,85,89,51,85,85,82,85,85,89,1995,7,7,630,7.0,0,0.0,77.2,0.0,0.0,0.14,0.14,0.0,0.29,28.6,100.0,36.6,54.9,0.0,1.86
231281,Trent Alexander-Arnold,180,England,87,90,CM,Liverpool,100500000,2025.0,Right,3,Right,3,High,Medium,76,69,89,80,80,73,14,15,14,6,7,1998,20,17,1441,16.0,1,0.06,73.1,7.25,0.31,4.0,2.81,1.5,1.13,3.06,61.1,22.4,48.2,0.0,7.56
216267,Andrew Robertson,178,Scotland,87,87,LB,Liverpool,72000000,2026.0,Left,3,Left,3,High,High,80,61,81,81,82,76,11,8,10,7,14,1994,18,15,1322,14.7,0,0.34,78.8,5.17,0.48,3.95,1.84,2.45,1.7,2.86,45.8,24.5,49.0,0.07,5.24
201024,Kalidou Koulibaly,187,Senegal,87,87,CB,Chelsea,54500000,2026.0,Right,3,Right,2,Medium,High,82,33,59,68,88,85,7,11,7,13,5,1991,14,12,1115,12.4,2,0.0,85.6,4.35,0.16,1.29,3.47,0.73,3.31,7.58,55.0,39.8,52.5,0.0,5.73
209658,Leon Goretzka,189,Germany,87,88,CM,FC Bayern München,91000000,2026.0,Right,4,Right,3,High,Medium,78,82,82,83,81,86,13,8,15,11,9,1995,15,13,1016,11.3,3,0.09,81.9,4.96,0.44,2.92,3.36,2.21,1.95,3.27,66.0,16.5,56.1,0.0,8.76
228702,Frenkie de Jong,180,Netherlands,87,92,CM,FC Barcelona,116500000,2026.0,Right,3,Right,4,High,Medium,82,69,86,87,77,78,7,13,10,10,9,1997,18,14,1308,14.5,2,0.07,89.7,8.0,0.34,3.93,3.24,3.52,0.83,1.38,52.9,13.6,81.0,0.07,6.9
192387,Ciro Immobile,185,Italy,86,86,ST,Lazio,55000000,2025.0,Right,4,Right,3,High,Medium,85,87,68,80,39,75,6,8,15,12,6,1990,17,15,1187,13.2,7,0.23,71.6,1.59,0.68,2.95,0.53,1.67,0.68,0.91,31.0,2.27,66.7,0.0,2.73
192505,Romelu Lukaku,191,Belgium,86,86,ST,Inter,68000000,2023.0,Left,4,Left,3,Medium,Low,80,85,75,77,38,82,8,15,14,7,10,1993,9,4,395,4.4,1,0.23,62.4,1.59,0.68,2.27,0.23,0.45,0.45,0.45,46.2,1.14,25.0,0.0,1.36
197445,David Alaba,180,Austria,86,86,CB,Real Madrid CF,55500000,2026.0,Left,4,Left,3,Medium,Medium,79,71,83,80,85,77,5,7,14,15,9,1992,17,15,1365,15.2,1,0.2,88.3,3.49,0.26,1.58,1.38,0.72,1.64,6.38,45.5,24.7,57.7,0.07,4.67
202652,Raheem Sterling,170,England,86,86,LW,Chelsea,72500000,2027.0,Right,4,Right,4,High,Medium,90,80,78,86,45,67,15,12,12,15,9,1994,16,14,1144,12.7,4,0.16,74.7,2.83,0.16,3.15,0.87,3.39,0.24,0.16,0.0,3.07,66.7,0.0,3.23
204485,Riyad Mahrez,179,Algeria,86,86,RW,Manchester City,56500000,2025.0,Left,3,Left,5,Medium,Medium,80,83,81,90,38,60,15,9,13,11,6,1991,16,10,898,10.0,4,0.3,84.3,4.6,1.1,5.7,1.5,3.4,0.2,0.3,27.3,3.9,66.2,0.0,4.1
211110,Paulo Dybala,177,Argentina,86,86,CAM,Roma,69500000,2025.0,Left,3,Left,4,High,Low,80,85,85,90,40,59,5,4,4,5,8,1993,16,15,1179,13.1,8,0.46,77.8,3.74,0.53,5.11,1.15,2.98,0.23,0.08,18.2,4.73,66.3,0.0,4.27
188943,Kevin Trapp,189,Germany,86,86,GK,Eintracht Frankfurt,36000000,2024.0,Right,3,Right,1,Medium,Medium,84,82,79,87,46,85,84,82,79,85,87,1990,18,18,1620,18.0,0,0.0,66.3,0.0,0.0,0.06,0.06,0.0,0.28,25.7,100.0,28.3,37.1,0.0,0.89
212218,Aymeric Laporte,191,Spain,86,87,CB,Manchester City,64500000,2025.0,Left,3,Left,2,Medium,Medium,61,50,72,69,86,79,10,11,5,14,5,1994,5,4,376,4.2,0,0.0,91.7,6.67,0.0,0.95,0.71,2.86,3.33,8.1,66.7,26.4,76.9,0.24,3.81
213345,Kingsley Coman,179,France,86,87,LM,FC Bayern München,80000000,2027.0,Right,4,Right,5,Medium,Medium,92,77,79,87,30,61,5,3,5,3,5,1996,14,7,749,8.3,4,0.36,79.6,4.22,0.72,5.66,0.96,6.51,0.48,0.72,50.0,4.1,60.9,0.0,4.34
224232,Nicolò Barella,172,Italy,86,89,CM,Inter,89500000,2026.0,Right,3,Right,3,High,High,79,76,83,84,77,81,11,5,13,14,11,1997,20,19,1609,17.9,5,0.28,80.7,5.75,0.5,3.74,1.73,2.57,0.34,1.23,66.7,10.1,48.3,0.0,5.92
231478,Lautaro Martínez,174,Argentina,86,90,ST,Inter,98500000,2026.0,Right,3,Right,4,High,Medium,83,83,72,85,48,84,11,8,8,8,13,1997,21,19,1675,18.6,12,0.16,72.4,2.8,0.48,3.12,1.18,1.72,0.65,0.86,46.2,2.96,76.7,0.05,3.06
232411,Christopher Nkunku,175,France,86,89,CAM,RB Leipzig,94000000,2024.0,Right,3,Right,5,High,Medium,88,81,83,88,65,66,5,6,10,15,7,1997,15,14,1282,14.2,12,0.0,80.6,3.73,0.35,4.23,0.63,1.97,0.56,0.77,50.0,3.38,67.3,0.0,3.1
212190,Niklas Süle,195,Germany,85,87,CB,Borussia Dortmund,59000000,2026.0,Right,3,Right,3,Medium,Medium,71,48,66,59,85,83,15,7,14,7,15,1995,17,13,1148,12.8,1,0.16,89.5,6.02,0.31,1.8,1.48,1.33,2.03,6.48,54.8,33.7,80.9,0.0,5.86
216594,Nabil Fekir,173,France,85,85,CAM,Real Betis Balompié,54500000,2026.0,Left,3,Left,4,High,Medium,83,82,82,87,38,80,15,9,8,14,15,1993,13,10,781,8.7,2,0.23,78.5,4.02,0.57,5.4,1.03,4.14,0.0,0.11,43.8,3.45,36.4,0.0,2.76
206113,Serge Gnabry,176,Germany,85,85,RM,FC Bayern München,59000000,2026.0,Right,4,Right,4,High,Medium,82,84,79,85,43,69,14,10,10,9,7,1995,20,13,1106,12.3,9,0.33,80.1,4.63,0.89,4.63,1.79,3.82,0.24,0.24,37.5,6.59,55.8,0.08,3.98
188377,Kyle Walker,183,England,85,85,RB,Manchester City,37500000,2024.0,Right,3,Right,3,High,High,91,63,77,78,80,82,12,6,16,15,8,1990,11,10,793,8.8,0,0.0,87.6,9.32,0.23,1.48,0.91,2.5,0.57,2.16,80.0,20.0,66.7,0.0,5.45
188567,Pierre-Emerick Aubameyang,187,Gabon,85,85,ST,Chelsea,34500000,2024.0,Right,3,Right,4,High,Low,87,84,74,79,36,68,6,9,15,9,9,1989,11,4,433,4.8,1,0.0,70.9,0.63,0.0,1.25,0.63,1.46,0.83,1.25,10.0,3.13,66.7,0.42,2.08
224334,Marcos Acuña,172,Argentina,85,85,LB,Sevilla FC,46500000,2024.0,Left,2,Left,3,High,High,76,74,83,87,80,83,8,14,13,13,14,1991,16,12,985,10.9,2,0.09,73.9,4.77,0.18,3.03,4.77,2.02,1.28,3.49,56.5,20.1,48.3,0.0,7.52
208418,Yannick Carrasco,181,Belgium,85,85,LM,Atlético de Madrid,54500000,2024.0,Right,3,Right,4,High,High,89,82,80,87,53,67,9,11,9,10,10,1993,18,10,969,10.8,1,0.0,79.7,3.52,0.0,3.52,2.13,4.63,0.83,1.2,57.1,9.81,45.2,0.0,4.63
208830,Jamie Vardy,179,England,85,85,ST,Leicester City,23000000,2024.0,Right,3,Right,3,High,Medium,84,84,70,79,52,72,15,14,7,15,11,1987,22,11,1175,13.1,1,0.31,53.0,0.61,0.38,1.45,0.69,0.92,1.45,1.68,40.0,2.75,50.0,0.0,1.91
237692,Phil Foden,171,England,85,92,CAM,Manchester City,109500000,2024.0,Left,3,Left,4,High,High,82,78,81,88,56,60,8,15,6,10,13,2000,18,13,1045,11.6,7,0.34,80.2,4.05,0.78,4.74,1.29,1.98,0.43,0.69,45.2,4.91,48.5,0.0,5.17
235243,Matthijs de Ligt,189,Netherlands,85,89,CB,FC Bayern München,71000000,2027.0,Right,3,Right,2,Medium,High,75,59,61,69,84,87,12,11,11,12,10,1999,17,14,1217,13.5,1,0.0,91.8,5.04,0.0,0.89,1.93,0.74,4.0,9.26,58.1,42.0,77.0,0.0,6.74
234236,Patrik Schick,191,Czech Republic,85,87,ST,Bayer 04 Leverkusen,67500000,2027.0,Left,3,Left,4,High,Medium,78,83,71,83,36,76,11,15,8,9,14,1996,11,10,858,9.5,2,0.0,69.6,1.16,0.11,2.53,0.11,0.84,0.53,0.74,41.9,2.11,60.0,0.0,1.89
232656,Theo Hernández,184,France,85,90,LWB,AC Milan,76000000,2026.0,Left,3,Left,3,High,Medium,93,72,76,81,78,83,12,10,7,7,7,1997,19,19,1649,18.3,2,0.16,77.6,3.66,0.38,3.01,2.35,3.83,0.98,2.3,67.7,15.4,57.0,0.05,6.28
185122,Péter Gulácsi,191,Hungary,85,85,GK,RB Leipzig,26500000,2025.0,Right,3,Right,1,Medium,Medium,85,84,76,85,43,83,85,84,76,83,85,1990,6,6,540,6.0,0,0.0,87.9,0.0,0.0,0.17,0.0,0.0,0.33,30.0,0.0,37.5,55.9,0.0,2.0
177683,Yann Sommer,183,Switzerland,85,85,GK,Borussia Mönchengladbach,17500000,2023.0,Right,3,Right,1,Medium,Medium,78,81,82,90,50,86,78,81,82,86,90,1988,5,5,450,5.0,0,0.0,87.8,0.2,0.0,0.2,0.2,0.0,0.2,33.2,66.7,42.8,65.7,0.0,1.8
188350,Marco Reus,180,Germany,85,85,CAM,Borussia Dortmund,33500000,2023.0,Right,4,Right,4,High,Medium,70,84,84,85,53,65,12,12,13,13,11,1989,12,9,779,8.7,2,0.23,76.3,2.07,0.23,2.53,2.18,2.07,0.46,0.92,22.2,6.09,26.7,0.0,3.22
220814,Lucas Hernández,184,France,84,86,CB,FC Bayern München,46000000,2024.0,Left,3,Left,2,Medium,Medium,77,54,70,71,84,80,10,7,8,14,10,1996,7,6,476,5.3,0,0.0,89.4,6.42,0.0,0.75,2.08,0.57,1.32,3.77,66.7,28.9,84.3,0.0,6.23
210935,Domenico Berardi,183,Italy,84,84,RM,U.S. Sassuolo Calcio,45000000,2027.0,Left,2,Left,4,Medium,Medium,82,81,81,86,36,71,5,6,5,5,6,1994,13,10,914,10.2,4,0.29,67.9,5.78,0.39,4.51,2.16,2.25,0.88,0.69,31.3,5.69,57.0,0.0,4.41
209989,Thomas Partey,185,Ghana,84,84,CDM,Arsenal,36000000,2024.0,Right,2,Right,3,Medium,High,65,71,81,80,80,83,11,13,9,9,7,1993,18,18,1539,17.1,2,0.0,86.2,7.89,0.23,3.04,3.63,0.88,1.7,2.75,55.6,15.6,71.6,0.06,8.01
209981,Yassine Bounou,192,Morocco,84,84,GK,Sevilla FC,22500000,2025.0,Left,1,Left,1,Medium,Medium,84,81,76,86,36,84,84,81,76,84,86,1991,19,19,1665,18.5,0,0.0,75.0,0.05,0.0,0.11,0.11,0.0,0.43,31.4,75.0,39.9,49.5,0.0,1.35
206517,Jack Grealish,180,England,84,84,LW,Manchester City,46000000,2027.0,Right,3,Right,4,High,Medium,76,76,83,87,46,69,11,6,11,10,13,1995,15,11,1040,11.6,2,0.26,83.6,3.53,0.78,4.57,1.55,6.72,0.34,0.69,61.5,5.09,57.5,0.0,4.83
202811,Emiliano Martínez,195,Argentina,84,84,GK,Aston Villa,29000000,2027.0,Right,3,Right,1,Medium,Medium,85,83,82,85,58,83,85,83,82,83,85,1992,19,19,1654,18.4,0,0.0,74.3,0.0,0.0,0.16,0.05,0.0,0.49,31.3,100.0,37.4,45.2,0.05,0.98
201535,Raphaël Varane,191,France,84,85,CB,Manchester United,39000000,2025.0,Right,3,Right,2,Medium,High,81,49,64,66,85,80,11,11,9,5,14,1993,17,15,1299,14.4,0,0.0,86.4,3.06,0.0,0.69,1.94,0.76,4.65,7.71,69.4,30.1,52.7,0.0,5.07
199451,Wissam Ben Yedder,170,France,84,84,CF,AS Monaco,35500000,2024.0,Right,2,Right,4,High,Low,81,84,78,88,39,68,6,13,9,7,7,1990,19,16,1135,12.6,14,0.24,76.3,3.33,0.56,2.46,0.87,2.86,0.0,0.0,34.8,1.27,45.0,0.0,2.62
178603,Mats Hummels,191,Germany,84,84,CB,Borussia Dortmund,20000000,2023.0,Right,4,Right,3,Medium,Medium,53,59,76,72,87,78,15,6,10,5,6,1988,16,14,1155,12.8,0,0.0,87.8,4.84,0.16,1.48,4.06,0.86,3.75,7.19,61.7,36.9,75.1,0.0,5.39
198176,Stefan de Vrij,189,Netherlands,84,84,CB,Inter,34500000,2023.0,Right,3,Right,2,Medium,High,68,41,65,69,87,79,8,10,7,14,13,1992,13,12,1085,12.1,1,0.0,88.2,2.73,0.0,0.33,3.39,0.5,3.39,5.79,67.3,31.2,55.2,0.0,4.55
192984,Koen Casteels,197,Belgium,84,85,GK,VfL Wolfsburg,31500000,2024.0,Left,3,Left,1,Medium,Medium,84,82,79,86,45,84,84,82,79,84,86,1992,20,20,1800,20.0,0,0.05,78.2,0.05,0.1,0.2,0.05,0.0,0.25,34.5,100.0,47.5,61.6,0.0,1.75
186345,Kieran Trippier,173,England,84,84,RB,Newcastle United,30500000,2024.0,Right,2,Right,3,Medium,Medium,70,64,82,77,80,72,11,14,8,11,10,1990,22,22,1954,21.7,1,0.18,71.4,6.36,0.32,4.93,3.36,0.97,1.98,2.95,58.8,19.5,50.4,0.0,6.96
184344,Leonardo Bonucci,190,Italy,84,84,CB,Juventus,11000000,2024.0,Right,3,Right,2,Medium,High,54,59,69,71,85,78,2,2,3,2,4,1987,9,6,600,6.7,1,0.0,85.2,2.39,0.15,0.9,1.64,0.15,3.28,10.0,45.8,32.4,65.3,0.0,5.37
183898,Ángel Di María,180,Argentina,84,84,RW,Juventus,20000000,2023.0,Left,4,Left,5,High,Medium,79,79,84,87,48,67,10,7,11,12,11,1988,12,8,608,6.8,3,0.29,75.0,5.44,0.59,5.74,1.32,2.35,0.0,0.15,100.0,4.26,61.0,0.0,3.68
183277,Eden Hazard,175,Belgium,84,84,LW,Real Madrid CF,35000000,2024.0,Right,4,Right,4,Medium,Medium,83,80,82,87,35,63,11,12,6,8,8,1991,3,1,99,1.1,0,0.0,89.9,0.91,0.0,6.36,0.0,4.55,0.0,0.0,0.0,1.82,100.0,0.0,0.91
252371,Jude Bellingham,186,England,84,91,CM,Borussia Dortmund,81500000,2025.0,Right,2,Right,4,High,High,75,75,78,84,77,80,14,11,10,5,8,2003,19,19,1690,18.8,4,0.21,80.9,9.04,0.53,3.88,4.2,3.03,1.06,1.6,56.5,12.0,69.4,0.0,7.71
235805,Federico Chiesa,175,Italy,84,90,RM,Juventus,66500000,2025.0,Right,3,Right,4,High,Medium,91,81,76,86,48,73,6,7,8,9,7,1997,7,1,241,2.7,0,0.74,74.1,2.59,0.74,3.33,2.96,4.44,0.37,1.48,0.0,8.52,50.0,0.0,6.3
241852,Moussa Diaby,171,France,84,88,RM,Bayer 04 Leverkusen,61500000,2025.0,Left,2,Left,4,High,Low,93,73,75,87,42,59,8,9,8,8,14,1999,20,20,1654,18.4,7,0.16,75.2,3.42,0.54,3.53,0.82,3.97,0.11,0.16,13.3,2.93,53.7,0.0,3.1
241486,Jules Koundé,181,France,84,89,CB,FC Barcelona,57500000,2027.0,Right,2,Right,2,High,High,84,45,64,74,85,78,11,10,8,14,13,1998,13,12,1031,11.5,0,0.17,89.3,6.87,0.35,1.57,2.09,2.35,1.39,3.91,62.5,24.8,75.8,0.0,6.17
216393,Youri Tielemans,176,Belgium,84,86,CM,Leicester City,52500000,2023.0,Right,2,Right,4,Medium,Medium,56,80,86,81,70,73,6,8,10,14,12,1997,21,19,1647,18.3,3,0.05,82.3,7.49,0.16,3.28,3.55,1.37,0.82,1.97,68.0,17.2,61.7,0.0,8.03
241096,Sandro Tonali,181,Italy,84,90,CDM,AC Milan,62500000,2027.0,Right,1,Right,3,Medium,High,81,73,81,79,79,82,13,9,8,7,7,2000,19,17,1563,17.4,2,0.23,71.2,4.02,0.46,3.33,2.99,2.01,0.63,1.38,42.9,10.9,49.3,0.06,5.8
241084,Luis Díaz,180,Colombia,84,87,RM,Liverpool,56000000,2027.0,Right,1,Right,4,High,Medium,91,80,75,87,34,73,10,13,13,14,14,1997,8,7,613,6.8,3,0.29,79.3,3.68,0.59,2.94,1.76,3.09,0.0,0.44,30.0,3.38,85.7,0.0,3.97
239053,Federico Valverde,182,Uruguay,84,90,CM,Real Madrid CF,66000000,2027.0,Right,1,Right,3,High,High,87,74,80,79,78,80,6,10,6,15,8,1998,20,17,1529,17.0,6,0.12,87.9,5.35,0.59,3.24,1.41,2.94,0.53,1.24,77.3,7.12,73.0,0.0,4.82
222492,Leroy Sané,183,Germany,84,85,LM,FC Bayern München,49500000,2025.0,Left,3,Left,4,Medium,Medium,88,81,80,85,38,66,8,12,9,9,14,1996,18,13,1223,13.6,6,0.22,82.1,5.88,0.66,4.34,1.62,3.09,0.07,0.29,83.3,4.63,59.5,0.0,4.71
238074,Reece James,178,England,84,88,RWB,Chelsea,57000000,2025.0,Right,2,Right,3,High,Medium,81,70,82,82,80,82,8,12,7,13,11,1999,10,9,760,8.4,1,0.12,85.8,6.43,0.24,2.98,3.21,4.52,1.55,2.02,59.1,17.1,68.2,0.0,6.43
237383,Alessandro Bastoni,190,Italy,84,90,CB,Inter,60500000,2024.0,Left,1,Left,2,Medium,High,73,35,69,71,86,82,11,5,9,11,12,1999,17,15,1267,14.1,0,0.14,83.5,6.52,0.28,2.41,2.98,1.84,1.99,7.38,71.8,32.6,63.5,0.0,4.82
235790,Kai Havertz,189,Germany,84,91,CAM,Chelsea,84500000,2025.0,Left,3,Left,4,Medium,Medium,81,79,79,84,45,66,6,8,11,10,12,1999,21,19,1591,17.7,5,0.06,80.3,2.82,0.17,1.98,1.81,1.92,1.53,1.64,57.3,4.46,63.6,0.0,2.99
235212,Achraf Hakimi,181,Morocco,84,87,RB,Paris Saint-Germain,53500000,2026.0,Right,2,Right,4,High,Medium,92,75,79,80,75,78,10,8,14,6,8,1998,21,16,1508,16.8,4,0.18,88.5,4.4,0.48,3.45,2.92,3.99,0.54,1.85,45.5,14.8,57.1,0.0,5.6
234396,Alphonso Davies,185,Canada,84,89,LM,FC Bayern München,60500000,2025.0,Left,3,Left,4,High,Low,94,66,77,85,76,77,11,11,6,5,14,2000,17,16,1398,15.5,0,0.13,87.8,6.0,0.26,3.55,2.9,4.97,0.84,2.32,42.9,21.4,66.7,0.19,8.77
234378,Declan Rice,185,England,84,87,CDM,West Ham United,52000000,2024.0,Right,1,Right,2,Medium,High,71,64,74,76,82,83,8,11,14,5,9,1999,22,22,1980,22.0,1,0.05,87.8,7.09,0.14,3.0,3.91,2.5,1.55,3.09,60.5,17.8,73.8,0.0,9.41
233064,Mason Mount,180,England,84,87,CAM,Chelsea,57500000,2024.0,Right,3,Right,3,High,High,74,81,85,82,55,67,11,12,13,8,12,1999,21,19,1539,17.1,3,0.12,75.2,5.38,0.41,3.16,2.11,2.69,0.53,0.99,40.0,6.14,53.1,0.0,4.74
233049,Jadon Sancho,180,England,84,88,CAM,Manchester United,61500000,2026.0,Right,3,Right,5,High,Medium,81,74,81,89,36,59,7,11,10,11,13,2000,11,10,746,8.3,3,0.12,82.0,3.86,0.72,4.58,1.08,4.46,0.24,0.24,20.0,5.3,50.0,0.0,4.7
